2004,,,,,,
Party,Votes,%,Seats,,,
Uttarakhand Parivartan Party,2045,0,0,,,
Akhil Rashtrawadi Party,2029,0,0,,,
Rashtriya Praja Congress (Secular),2025,0,0,,,
Manipur Democratic Peoples's Front,2005,0,0,,,
Bhartiya Jan Yug Party,2000,0,0,,,
Bharat Nirman Party,2000,0,0,,,
Socialist Party (Lohia),1997,0,0,,,
Labour Party of India (V.V. Prasad),1993,0,0,,,
Indian Bahujan Sandesh Party (Kanshiram),1952,0,0,,,
Dr. Ambedkar Samajvadi Democratic Party,1949,0,0,,,
Adarsh Manavtawadi Party,1920,0,0,,,
Bhartiya Navjawan Sena (Paksha),1862,0,0,,,
Rashtriya Bahujan Hitay Party,1842,0,0,,,
Narayani Sena,1725,0,0,,,
Bahujan Suraksha Dal,1723,0,0,,,
Brihattar Bharat Prajatantra Sewa Party,1679,0,0,,,
Bhartiya Party,1635,0,0,,,
Rashtriya Uttarakhand Party,1629,0,0,,,
Awami Samta Party,1617,0,0,,,
Bharatiya Rashtriya Mazdoor Dal,1607,0,0,,,
All India Azaad Congress Party,1593,0,0,,,
Rashtriya Manav samman Party,1572,0,0,,,
Rashtriya Janshanti Party,1571,0,0,,,
All Jammu and Kashmir Republican Party,1568,0,0,,,
Rashtriya Janta Party,1526,0,0,,,
Rashtriya Bandhutwa Party,1521,0,0,,,
Jebamani Janata,1517,0,0,,,
Loktantrik Rashrtavadi Party,1491,0,0,,,
Nehru Janhit Congress,1463,0,0,,,
Akhil Bharatiya Congress Dal (Ambedkar),1461,0,0,,,
Navodyam Party,1455,0,0,,,
Bhartiya Naujawan Inklav Party,1440,0,0,,,
Rashtriya Vikas Manch Party,1434,0,0,,,
Bhartiya Samajik Kranti Dal,1423,0,0,,,
Bhrashtachar Mukti Morcha,1413,0,0,,,
Bharatiya Navyuvak Party,1408,0,0,,,
Punjab Labour Party,1386,0,0,,,
Kamarajar Deseeya Congress,1345,0,0,,,
Democratic Prajakranthi Party Secularist,1342,0,0,,,
Bharatiya Jawala Shakti Paksha,1337,0,0,,,
Jan Raksha Party,1318,0,0,,,
Democratic Secular Party,1262,0,0,,,
Rashtriya Komi Ekta Party,1254,0,0,,,
National Organisation Congress,1198,0,0,,,
Rashtrawadi Parivartan Party (L.B.),1195,0,0,,,
All India Mazdoor Party (Rangreta),1182,0,0,,,
National Youth Party,1176,0,0,,,
Bahujan Kranti Party (Marxwad-Ambedkarwad),1174,0,0,,,
Bhartiya Vikas Party,1152,0,0,,,
Rashtriya Janmorcha,1145,0,0,,,
Bhartiya Janta Dal (Integrated),1118,0,0,,,
Rashtriya Garib Dal,1111,0,0,,,
Indian Justice Party,1103,0,0,,,
Bharatiya Samaj Dal,1096,0,0,,,
Voters Party,1089,0,0,,,
Akhil Bharatiya Manavata Paksha,1077,0,0,,,
The Religion of Man Revolving Political Party of India,1071,0,0,,,
Indian Bahujan Samajwadi Party,1059,0,0,,,
Rashtriya Shoshit Samaj Party,1054,0,0,,,
Akhil Bhartiya Aamjan Party,1040,0,0,,,
Manavadhikar Janshakti Party,997,0,0,,,
Himachal Swabhiman Party,997,0,0,,,
Majlis Markaz-e-Siyasee Party,959,0,0,,,
Dalit Vikas Party(Bharat),950,0,0,,,
Janral Samaj Party,944,0,0,,,
Shivrajya Party,944,0,0,,,
Union Party of India,944,0,0,,,
Aazadi Ka Antim Aandolan Dal,937,0,0,,,
Bhartiya Shramik Dal Socialist,924,0,0,,,
Rashtriya Morcha Party,923,0,0,,,
Republican Party of India Ektavadi,910,0,0,,,
Hindustan Swaraj Congress Party,888,0,0,,,
Bharatiya Mool Niwasi Samaj Party,877,0,0,,,
Democratic Congress Party,833,0,0,,,
Bhartiya Chaitanya Party,802,0,0,,,
National Party,791,0,0,,,
Goa Su-Raj Party,783,0,0,,,
Samta Vikas Party,763,0,0,,,
Kannada Chalavali Vatal Paksha,707,0,0,,,
Prajatantra Aadhar Party,698,0,0,,,
Akhil Bharatiya Hind Kranti Party,685,0,0,,,
Akhil Bharatiya Rajarya Sabha,683,0,0,,,
Social Action Party,682,0,0,,,
Rashtriya Sawarn Dal,665,0,0,,,
Akhand Bharat Samaj Party,651,0,0,,,
Indian Oceanic Party,649,0,0,,,
Rashtriya Ekta Party,601,0,0,,,
B.C. Bharata Desam Party,596,0,0,,,
Hindustan Ekta Party,566,0,0,,,
Adarsh Samaj Party,557,0,0,,,
Indian Gandhiyan Party,546,0,0,,,
All India Ravidas Samata Party,543,0,0,,,
Uttar Pradesh Republican Party,542,0,0,,,
Goemcarancho Otrec Astro,530,0,0,,,
Bharatiya Nav Kranti Party,502,0,0,,,
Nava Bharat National Party,485,0,0,,,
Thrinamool Tamil Nadu Congress,474,0,0,,,
Navbharat Nirman Party,441,0,0,,,
Parivartan Samaj Party,433,0,0,,,
Rashtriya Janadhikar Party,415,0,0,,,
Indians Victory Party,398,0,0,,,
Sardar Vallabhbhai Patel Party,394,0,0,,,
Ambedkar People's Movement,372,0,0,,,
Majdoor Kisan Union Party,360,0,0,,,
Jan Samanta Party,357,0,0,,,
Vanchit Jamat Party,350,0,0,,,
People's Party of India (Secular),331,0,0,,,
Bhartiya Jan Manch,325,0,0,,,
Akhil Bharatiya Ashok Sena,296,0,0,,,
Vishva SHakti Party,263,0,0,,,
Rashtriya Jatigat Aarakshan Virodhi Party,259,0,0,,,
Rashtriya Jankranti Party,217,0,0,,,
Bharat Vishal Party,161,0,0,,,
Independents,16737720,3.02,3,,,
None of the Above,,6002942,1.08,,,
Nominated Anglo-Indians,,,,2,,
Total,,553802946,100,545,,
,,,,,,
Valid votes,,553802946,99.93,,,
Invalid/blank votes,,368873,0.07,,,
Total votes,,554171819,100,,,
Registered voters/turnout,,834082814,66.44,,,
Source: EC,,,,,,
2019,,,,,,
Party   ,Votes,%,Seats,,,
Bharatiya Janata Party,229076879,37.36,303,,,
Indian National Congress,119495214,19.49,52,,,
All India Trinamool Congress,24929330,4.07,22,,,
Bahujan Samaj Party,22246501,3.63,10,,,
Samajwadi Party,15647206,2.55,5,,,
YSR Congress Party,15537006,2.53,23,,,
Dravida Munnetra Kazhagam,13877992,2.26,23,,,
Shiv Sena,12858904,2.1,18,,,
Telugu Desam Party,12515345,2.04,3,,,
Communist Party of India (Marxist),10744908,1.77,3,,,
Biju Janata Dal,10174021,1.66,12,,,
Janata Dal (United),8926679,1.46,16,,,
Nationalist Congress Party,8500331,1.39,5,,,
All India Anna Dravida Munnetra Kazhagam,7830146,1.28,1,,,
Telangana Rashtra Samithi,7696848,1.26,9,,,
Rashtriya Janata Dal,6632247,1.08,0,,,
Shiromani Akali Dal,3778574,0.62,2,,,
Vanchit Bahujan Aaghadi,3743560,0.61,0,,,
Communist Party of India,3576184,0.58,2,,,
Janata Dal (Secular),3457107,0.56,1,,,
Lok Jan Shakti Party,3206979,0.52,6,,,
Aam Aadmi Party,2716629,0.44,1,,,
Pattali Makkal Katchi,2297431,0.37,0,,,
Amma Makkal Munnettra Kazagam,2249118,0.37,0,,,
Jana Sena Party,1915127,0.31,0,,,
Jharkhand Mukti Morcha,1901976,0.31,1,,,
Naam Tamilar Katchi,1668079,0.27,0,,,
Makkal Needhi Maiam,1613708,0.26,0,,,
Indian Union Muslim League,1592467,0.26,3,,,
Asom Gana Parishad,1480697,0.24,0,,,
Rashtriya Lok Samta Party,1462518,0.24,0,,,
Rashtriya Lok Dal,1447363,0.24,0,,,
All India United Democratic Front,1402088,0.23,1,,,
All India Majlis-E-Ittehadul Muslimeen,1201542,0.2,2,,,
Apna Dal (Sonelal),1039478,0.17,2,,,
Hindustani Awam Morcha (Secular),956501,0.16,0,,,
Desiya Murpokku Dravida Kazhagam,929590,0.15,0,,,
Swabhimani Paksha,834380,0.14,0,,,
Jharkhand Vikas Morcha (Prajatantrik),750799,0.12,0,,,
Communist Party of India (Marxist–Leninist) Liberati,711715,0.12,0,,,
Revolutionary Socialist Party,709685,0.12,1,,,
Vikassheel Insaan Party,660706,0.11,0,,,
Rashtriya Loktantrik Party,660051,0.11,1,,,
All Jharkhand Students Union,648277,0.11,1,,,
Jannayak Janta Party,619970,0.1,0,,,
Bharatiya Tribal Party,539319,0.09,0,,,
Viduthalai Chiruthaigal Katchi,507643,0.08,1,,,
Nationalist Democratic Progressive Party,500510,0.08,1,,,
Bahujan Vikas Aaghadi,491596,0.08,0,,,
Lok Insaaf Party,469784,0.08,0,,,
Bodoland People's Front,446774,0.07,0,,,
National People's Party,425986,0.07,1,,,
Kerala Congress (M),421046,0.07,1,,,
United People's Party Liberal,416305,0.07,0,,,
Bahujan Mukti Party,405949,0.07,0,,,
Socialist Unity Centre of India (Communist),403835,0.07,0,,,
Ambedkarite Party of India,381070,0.06,0,,,
Bharath Dharma Jana Sena,380847,0.06,0,,,
Naga People's Front,363527,0.06,1,,,
Pragatishil Samajwadi Party (Lohia),344546,0.06,0,,,
All India Forward Bloc,322507,0.05,0,,,
Suheldev Bharatiya Samaj Party,313925,0.05,0,,,
Punjab Ekta Party,296620,0.05,0,,,
Maharashtra Swabhiman Paksha,281578,0.05,0,,,
Jammu & Kashmir National Conference,280356,0.05,3,,,
United Democratic Party,267256,0.04,0,,,
All India N.R. Congress,247956,0.04,0,,,
Indian National Lok Dal,240258,0.04,0,,,
Mizo National Front,224286,0.04,1,,,
Tamil Maanila Congress,220849,0.04,0,,,
Gondwana Ganatantra Party,210088,0.03,0,,,
Jansatta Dal (Loktantrik),203369,0.03,0,,,
Social Democratic Party of India,169680,0.03,0,,,
Sikkim Krantikari Morcha,166922,0.03,1,,,
Nawan Punjab Party,161645,0.03,0,,,
Kerala Congress,155135,0.03,0,,,
Sikkim Democratic Front,154489,0.03,0,,,
Peoples Party of India (Democratic),153103,0.02,0,,,
Jammu and Kashmir People's Conference,133612,0.02,0,,,
Hindusthan Nirman Dal,122972,0.02,0,,,
Uttama Prajaakeeya Party,120800,0.02,0,,,
Bhartiya Shakti Chetna Party,105997,0.02,0,,,
Voters Party International,105972,0.02,0,,,
Jan Adhikar Party (Loktantrik),97631,0.02,0,,,
Bharat Prabhat Party,92100,0.02,0,,,
Communist Party of India (Marxist–Leninist) Red St,90645,0.01,0,,,
Indigenous People's Front of Tripura,89529,0.01,0,,,
Jammu and Kashmir Peoples Democratic Party,84054,0.01,0,,,
Jan Adhikar Party,79975,0.01,0,,,
Pyramid Party of India,77169,0.01,0,,,
Republican Party of India (Athawale),71524,0.01,0,,,
Rashtriya Hindu Sena,67782,0.01,0,,,
Shoshit Samaj Dal,63543,0.01,0,,,
Moulik Adhikar Party,59235,0.01,0,,,
Rashtriya Samata Party (Secular),58110,0.01,0,,,
Telangana Jana Samithi,57073,0.01,0,,,
Rashtriya Jansambhavna Party,55868,0.01,0,,,
Loktanter Suraksha Party,55280,0.01,0,,,
Bahujan Republican Socialist Party,54266,0.01,0,,,
Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),52185,0.01,0,,,
Aihra National Party,50071,0.01,0,,,
Ambedkar National Congress,49149,0.01,0,,,
Akhil Bhartiya Gondwana Party,48426,0.01,0,,,
Bahujan Maha Party,46185,0.01,0,,,
Purvanchal Janta Party (Secular),43892,0.01,0,,,
Rashtravadi Janata Party,42905,0.01,0,,,
Bajjikanchal Vikas Party,40906,0.01,0,,,
Anti Corruption Dynamic Party,40214,0.01,0,,,
Peoples Democratic Party,39856,0.01,0,,,
Jammu and Kashmir National Panthers Party,39760,0.01,0,,,
North East India Development Party,37221,0.01,0,,,
Autonomous State Demand Committee,36915,0.01,0,,,
Amra Bangalee,36570,0.01,0,,,
Ambedkar Samaj Party,35076,0.01,0,,,
Jharkhand Party,35060,0.01,0,,,
Aam Adhikar Morcha,34845,0.01,0,,,
Bhartiya Lok Seva Dal,34643,0.01,0,,,
Tamil Nadu Ilangyar Katchi,34233,0.01,0,,,
Janhit Kisan Party,33902,0.01,0,,,
Sapaks Party,33366,0.01,0,,,
Bihar Lok Nirman Dal,32445,0.01,0,,,
Bharatiya Nyay-Adhikar Raksha Party,31308,0.01,0,,,
Aam Janta Party Rashtriya,31017,0.01,0,,,
Rashtriya Shoshit Samaj Party,30983,0.01,0,,,
Yuva Krantikari Party,30492,0,0,,,
Peace Party of India,29998,0,0,,,
Bharatiya Jan Kranti Dal (Democratic),29507,0,0,,,
Wazib Adhikar Party,29392,0,0,,,
Bhartiya Lokmat Rashtrwadi Party,29129,0,0,,,
Right to Recall Party,28817,0,0,,,
Rashtriya Samaj Paksha,28545,0,0,,,
People's Party of Arunachal,27703,0,0,,,
Janta Dal Rashtravadi,27584,0,0,,,
Jai Prakash Janata Dal,27404,0,0,,,
Bahujan Nyay Dal,26746,0,0,,,
"Dogra Swabhiman Sangathan Party,",26588,0,0,,,
Rashtriya Ulama Council,25756,0,0,,,
Samajwadi Janata Dal Democratic,25630,0,0,,,
Swatantra Jantaraj Party,25494,0,0,,,
Baliraja Party,24915,0,0,,,
Samagra Utthan Party,24816,0,0,,,
Bharatiya Momin Front,23765,0,0,,,
Rashtriya Janadhikar Suraksha Party,23580,0,0,,,
Hindu Mahasabha,23475,0,0,,,
Akhil Hind Forward Bloc (Krantikari),23252,0,0,,,
Welfare Party Of India,23035,0,0,,,
Satya Bahumat Party,22560,0,0,,,
Hindustan Shakti Sena,21771,0,0,,,
Asom Jana Morcha,21678,0,0,,,
Bhartiya Kisan Party,21551,0,0,,,
Moolniwasi Samaj Party,21234,0,0,,,
Indian New Congress Party,21095,0,0,,,
Marxist Communist Party of India (United),21045,0,0,,,
Sarvodaya Bharat Party,20764,0,0,,,
Rashtriya Rashtrawadi Party,20704,0,0,,,
India Praja Bandhu Party,20682,0,0,,,
Prahar Janshakti Party,20620,0,0,,,
Bharatiya Bahujan Congress,19500,0,0,,,
"Proutist Bloc, India",19457,0,0,,,
Jharkhand Party (Naren),18869,0,0,,,
Aapki Apni Party (Peoples),18866,0,0,,,
Lok Gathbandhan Party,18684,0,0,,,
Samajwadi Forward Bloc,18577,0,0,,,
Lokdal,18218,0,0,,,
Nagrik Ekta Party,18037,0,0,,,
Jantantrik Vikas Party,17955,0,0,,,
Vanchit Samaj Party,17856,0,0,,,
Revolutionary Marxist Party of India,17125,0,0,,,
Rashtriya Jansabha Party,16902,0,0,,,
Aam Janta Party (India),16749,0,0,,,
Bharatiya National Janta Dal,16743,0,0,,,
Hum Bhartiya Party,16672,0,0,,,
Aajad Bharat Party (Democratic),16481,0,0,,,
Rashtriya mahan Gantantra Party,16371,0,0,,,
Jharkhand People's Party,16195,0,0,,,
Bhartiya Anarakshit Party,15907,0,0,,,
Madhya Pradesh Jan Vikas Party,15472,0,0,,,
Bhartiya Dalit Party,15376,0,0,,,
Swaraj Party (Loktantrik),15132,0,0,,,
Vyavastha Parivartan Party,14974,0,0,,,
Sardar Vallabhbhai Patel Party,14882,0,0,,,
Bharatiya Praja Surajya Paksha,14757,0,0,,,
Republican Party of India (Karnataka),14746,0,0,,,
Janata Congress,14595,0,0,,,
Desiya Makkal Sakthi Katchi,14300,0,0,,,
Sarva Janata Party,14213,0,0,,,
Bhartiya Republican Party (Insan),14142,0,0,,,
Bahujan Awam Party,14060,0,0,,,
Marxist-Leninist Party of India (Red Flag),14016,0,0,,,
Jai Hind Party,13693,0,0,,,
Proutist Sarva Samaj,13535,0,0,,,
Janata Party,13467,0,0,,,
Purvanchal Mahapanchayat,13450,0,0,,,
Prism,13323,0,0,,,
Public Mission Party,13238,0,0,,,
Prabuddha Republican Party,13229,0,0,,,
Bharatiya Gana Parishad,13039,0,0,,,
Bhartiya Mitra Party,12737,0,0,,,
Kamatapur People's Party (United),12666,0,0,,,
Uttarakhand Kranti Dal (Democratic),12629,0,0,,,
Akhil Bhartiya Apna Dal,12538,0,0,,,
Sarvadharam Party (Madhya Pradesh),12525,0,0,,,
Rashtriya Lokswaraj Party,12459,0,0,,,
Kalinga Sena,12432,0,0,,,
Swatantra Bharat Paksha,12430,0,0,,,
Bhartiya Jan Satta Party,12416,0,0,,,
Party for Democratic Socialism,12087,0,0,,,
Republican Party of India,12015,0,0,,,
Smart Indians Party,11877,0,0,,,
Pragatisheel Samaj Party,11752,0,0,,,
Garib Janshakti Party,11678,0,0,,,
Ganasangam Party of India,11631,0,0,,,
Asli Deshi Party,11598,0,0,,,
Jana Jagruti Party,11464,0,0,,,
Janral Samaj Party,11324,0,0,,,
Aadarsh Mithila Party,11311,0,0,,,
Rashtriya Power Party,11248,0,0,,,
Kranti Kari Jai Hind Sena,11200,0,0,,,
Bhartiya Manavadhikaar Federal Party,11132,0,0,,,
All India Peoples' Front (Radical),11032,0,0,,,
Rashtriya Independent Morcha,10914,0,0,,,
Jan Sangharsh Virat Party,10569,0,0,,,
Poorvanchal Rashtriya Congress,10532,0,0,,,
Garvi Gujarat Party,10469,0,0,,,
Shiromani Akali Dal (Taksali),10424,0,0,,,
Yuva Jan Jagriti Party,10147,0,0,,,
Akhil Bhartiya Mithila Party,10127,0,0,,,
Hindustan Janta Party,9997,0,0,,,
Rashtriya Krantikari Samajwadi Party,9914,0,0,,,
Akhil Bharat Samagra Kranti Party,9912,0,0,,,
Bharat Bhrashtachar Mitao Party,9894,0,0,,,
Loktantrik Jan Swaraj Party,9868,0,0,,,
Praja Shanthi Party,9738,0,0,,,
Bharatiya Aam Awam Party,9628,0,0,,,
Indian Peoples Green Party,9538,0,0,,,
Bharatiya Kisan Parivartan Party,9503,0,0,,,
Samata Samadhan Party,9396,0,0,,,
Lok Jan Vikas Morcha,9278,0,0,,,
Rajnaitik Vikalp Party,9109,0,0,,,
Bharatiya Jana Sangh,9015,0,0,,,
Ulzaipali Makkal Katchy,9007,0,0,,,
Rashtriya Maratha Party,8997,0,0,,,
Rashtriya Janshakti Party (Secular),8900,0,0,,,
Pichhara Samaj Party United,8884,0,0,,,
Uttarakhand Kranti Dal,8830,0,0,,,
Vishva SHakti Party,8784,0,0,,,
Jharkhand Mukti Morcha (Ulgulan),8672,0,0,,,
Sathi Aur Aapka Faisala Party,8643,0,0,,,
Rashtriya Janasachetan Party (R.J.P.),8609,0,0,,,
Apna Dal United Party,8541,0,0,,,
Krupaa Party,8510,0,0,,,
Akhil Bhartiya Jharkhand Party,8484,0,0,,,
Bahujan Azad Party,8421,0,0,,,
Loksangram,8418,0,0,,,
Rashtra Sewa Dal,8381,0,0,,,
Apna Kisan Party,8354,0,0,,,
Odisha Pragati Dal,8304,0,0,,,
Assam Dristi Party,8285,0,0,,,
Bharatiya Rashtriya Morcha,8260,0,0,,,
Pragatisheel Manav Samaj Party,8210,0,0,,,
Sanyukt Vikas Party,8205,0,0,,,
Bharatiya Aavaam Ekta Party,8164,0,0,,,
All India Hindustan Congress Party,8082,0,0,,,
Nava Praja Rajyam Party,8007,0,0,,,
Kisan Mazdoor Sangharsh Party,7974,0,0,,,
Indian Democratic Republican Front,7784,0,0,,,
AARAKSHAN VIRODHI PARTY,7697,0,0,,,
Akhand Samaj Party,7569,0,0,,,
Rashtriya Jan Adhikar Party (United),7561,0,0,,,
Bharatiya Samta Samaj Party,7370,0,0,,,
Mundadugu Praja Party,7342,0,0,,,
Sanatan Sanskriti Raksha Dal,7325,0,0,,,
Agila India Makkal Kazhagam,7320,0,0,,,
Naitik Party,7294,0,0,,,
Kanshiram Bahujan Dal,7255,0,0,,,
Bhartiya Janraj Party,7210,0,0,,,
Janhit Bharat Party,7192,0,0,,,
New Democratic Party of India,7081,0,0,,,
Rashtriya Kranti Party,6997,0,0,,,
Rashtriya Samanta Dal,6918,0,0,,,
Freethought Party of India,6884,0,0,,,
Rashtriya Apna Dal,6840,0,0,,,
Bahujan Samaj Party (Ambedkar),6802,0,0,,,
Samaj Adhikar Kalyan Party,6736,0,0,,,
Bhartiya Jan Nayak Party,6735,0,0,,,
Bharat Bhoomi Party,6730,0,0,,,
BhartiyaBahujanKranti Dal,6684,0,0,,,
Nationalist Justice Party,6531,0,0,,,
Bharateeya Manavadhikar party,6511,0,0,,,
Bhartiya Hind Fauj,6508,0,0,,,
Rashtriya Sarvjan Vikas Party,6497,0,0,,,
All India Jana Andolan Party,6495,0,0,,,
Parivartan Samaj Party,6469,0,0,,,
Sankhyanupati Bhagidari Party,6395,0,0,,,
Saman Aadmi Saman Party,6368,0,0,,,
Lok Sewa Dal,6313,0,0,,,
Sabka Dal United,6283,0,0,,,
Maanavvaadi Janta Party,6267,0,0,,,
Minorities Democratic Party,6198,0,0,,,
Jago Hindustan Party,6171,0,0,,,
Dalita Bahujana Party,6133,0,0,,,
Bharipa Bahujan Mahasangh,5971,0,0,,,
Jamat-E-Seratul Mustakim,5885,0,0,,,
Nationalist People's Front,5798,0,0,,,
Rashtriya Jan Gaurav Party,5768,0,0,,,
Jan Shakti Dal,5758,0,0,,,
Apna Desh Party,5682,0,0,,,
Bharat Nirman Party,5674,0,0,,,
Republican Sena,5654,0,0,,,
Kisan Party of India,5647,0,0,,,
Chhattisgarh Vikas Ganga Rashtriya Party,5540,0,0,,,
Anna YSR Congress Party,5511,0,0,,,
Awami Samta Party,5504,0,0,,,
Ezhuchi Tamilargal Munnetra Kazhagam,5482,0,0,,,
Prithviraj Janshakti Party,5451,0,0,,,
Uttarakhand Parivartan Party,5351,0,0,,,
Secular Democratic Congress,5321,0,0,,,
Akhil Bharatiya Muslim League (Secular),5179,0,0,,,
Annadata Party,5147,0,0,,,
Anaithu Makkal Puratchi Katchi,5089,0,0,,,
Swarna Bharat Party,5064,0,0,,,
Samajik Nyaya Party,5027,0,0,,,
Mazdoor Kirayedar Vikas Party,5017,0,0,,,
Samajwadi Janata Party(Karnataka),4991,0,0,,,
Samaanya Praja Party,4983,0,0,,,
Indian Labour Party (Ambedkar Phule),4923,0,0,,,
Bhartiya Navjawan Sena (Paksha),4917,0,0,,,
People's Party of India(secular),4914,0,0,,,
Democratic Party of India (Ambedkar),4913,0,0,,,
Rashtriya Jansangharsh Swaraj Party,4897,0,0,,,
Janta Kranti Party (Rashtravadi),4873,0,0,,,
Aasra Lokmanch Party,4856,0,0,,,
Nationalist Janshakti Party,4847,0,0,,,
Indian Christian Front,4832,0,0,,,
Jai Jawan Jai Kisan Party,4809,0,0,,,
Atulya Bharat Party,4737,0,0,,,
Bhartiya Krishak Dal,4696,0,0,,,
The National Road Map Party of India,4672,0,0,,,
Bhartiya Amrit Party,4632,0,0,,,
Prajatantrik Samadhan Party,4612,0,0,,,
Navbharat Nirman Party,4590,0,0,,,
Manavtawadi Samaj Party,4498,0,0,,,
National Jagaran Party,4444,0,0,,,
Mithilanchal Mukti Morcha,4413,0,0,,,
Republican Party of India (Khobragade),4402,0,0,,,
Ambedkarist Republican Party,4399,0,0,,,
Nava Samaj Party,4286,0,0,,,
Aadarsh Sangram Party,4283,0,0,,,
National Republican Congress,4278,0,0,,,
Navarang Congress Party,4265,0,0,,,
Prajaa Swaraaj Party,4179,0,0,,,
Jharkhand Anushilan Party,4164,0,0,,,
Pichhra Samaj Party,4073,0,0,,,
Manvadhikar National Party,4071,0,0,,,
Mulnibasi Party of India,4057,0,0,,,
All India Ulama Congress,4024,0,0,,,
"Rashtrawadi Party of India,",4016,0,0,,,
Indian Unity Centre,4003,0,0,,,
Manuvadi Party,3962,0,0,,,
Rashtriya Lok Sarvadhikar Party,3944,0,0,,,
Social Justice Party of India,3927,0,0,,,
Rashtriya Samajwadi Party (Secular),3926,0,0,,,
Subhashwadi Bhartiya Samajwadi Party (Subhas Party),3919,0,0,,,
Bharat Jan Aadhar Party,3919,0,0,,,
Socialist Party (India),3916,0,0,,,
Bhartiya Manav Samaj Party,3908,0,0,,,
Akhand Hind Party,3907,0,0,,,
National Women's Party,3903,0,0,,,
Rashtriya Sangail Party,3895,0,0,,,
Samata Kranti Dal,3877,0,0,,,
RASHTRIYA VIKLANG PARTY,3845,0,0,,,
Rashtriya Azad Manch,3799,0,0,,,
Bhartiya Kranti Vir Party,3778,0,0,,,
VANCHITSAMAJ INSAAF PARTY,3756,0,0,,,
Hindusthan Praja Paksha,3750,0,0,,,
Jan Seva Sahayak Party,3731,0,0,,,
Jan Samman party,3706,0,0,,,
Karnataka Praja Party (RaithaParva),3697,0,0,,,
Vikas Insaf Party,3694,0,0,,,
Rashtriya Sahara Party,3687,0,0,,,
Apna Samaj Party,3678,0,0,,,
Jan Satya Path Party,3646,0,0,,,
Indian National League,3644,0,0,,,
Bhartiya Sarvodaya Party,3638,0,0,,,
Tamizhaga Murpokku Makkal Katchi,3599,0,0,,,
Adhikar Vikas Party,3526,0,0,,,
Dalit Soshit Pichhara Varg Adhikar Dal,3522,0,0,,,
Bhartiya Panchyat Party,3449,0,0,,,
Aap Aur Hum Party,3434,0,0,,,
Rashtriya Jansurajya Party,3433,0,0,,,
Adarsh Samaj Party,3423,0,0,,,
Telangana Yuva Shakti,3407,0,0,,,
Rashtriya Jankranti Party,3405,0,0,,,
New All India Congress Party,3391,0,0,,,
Pragatisheel Lok Manch,3339,0,0,,,
Desiya Uzhavar Uzhaipalar Kazhagam,3337,0,0,,,
"Kisan Raksha Party,",3303,0,0,,,
Bharat Lok Sewak Party,3271,0,0,,,
Jai Maha Bharath Party,3267,0,0,,,
Rastriya Insaaf Party,3265,0,0,,,
Bhartiya Insan Party,3264,0,0,,,
Chandigarh Ki Aawaz Party,3186,0,0,,,
Rashtra Nirman Party,3167,0,0,,,
Samdarshi Samaj Party,3139,0,0,,,
Karnataka Karmikara Paksha,3084,0,0,,,
Rashtriya Mazdoor Ekta Party,3066,0,0,,,
Gorkha Rashtriya Congress,2952,0,0,,,
Samaj Bhalai Morcha,2917,0,0,,,
"Makkal Sananayaga Kudiyarasu Katchi,",2906,0,0,,,
Sarvshreshth Dal,2901,0,0,,,
Bharat Rakshak Party (Democratic),2880,0,0,,,
Yuva Vikas Party,2858,0,0,,,
Satya Kranti Party,2857,0,0,,,
National Labour Party,2833,0,0,,,
Republican Party of India (Kamble),2809,0,0,,,
Swabhiman Party,2805,0,0,,,
Shakti Sena (Bharat Desh),2802,0,0,,,
All India Puratchi Thalaivar Makkal Munnettra Kazhagam,2764,0,0,,,
Maharashtra Kranti Sena,2761,0,0,,,
Akhil Bhartiya Navnirman Party,2759,0,0,,,
Rashtriya Sahyog Party,2756,0,0,,,
Sabhi Jan Party,2751,0,0,,,
Loktantrik Janshakti Party,2725,0,0,,,
Rashtriya Pragati Party,2718,0,0,,,
All India Labour Party,2707,0,0,,,
Chhattisgarh Swabhiman Manch,2691,0,0,,,
Samta Vikas Party,2688,0,0,,,
Janvadi Party(Socialist),2640,0,0,,,
Bhartiya New Sanskar Krantikari Party,2640,0,0,,,
Akhand Rashtrawadi Party,2626,0,0,,,
Naam Indiar Party,2597,0,0,,,
Indian Indira Congress (R),2569,0,0,,,
Sunder Samaj Party,2568,0,0,,,
Sarvjan Lok Shakti Party,2554,0,0,,,
Tamil Telugu National Party,2516,0,0,,,
Kannada Chalavali Vatal Paksha,2510,0,0,,,
Bharatiya Minorities Suraksha Mahasangh,2484,0,0,,,
Jansatta Party,2484,0,0,,,
Voters Party,2478,0,0,,,
Mahamukti Dal,2477,0,0,,,
Nirbhay Bharteey Party,2449,0,0,,,
Mahasankalp Janta Party,2427,0,0,,,
"Kisan Raj Party,",2426,0,0,,,
Samajwadi Samaj Party,2417,0,0,,,
Lok Chetna Dal,2384,0,0,,,
Navbharat Ekta Dal,2371,0,0,,,
Janta Raj Vikas Party,2364,0,0,,,
Adarsh Nyay Rakshak Party,2360,0,0,,,
Netaji Subhash Chander Bose Rashtriya Azad Party,2342,0,0,,,
Janta Raj Party,2308,0,0,,,
Rashtriya Bharatiya Jan Jan Party,2291,0,0,,,
Rashtriya Aamjan Party,2272,0,0,,,
Samrat Ashok Sena Party,2214,0,0,,,
Bharatiya Bahujan Samta Party,2210,0,0,,,
