2004,,,,,,,,,,,,,,,,
By state and territory,,,,,,,,,,,,,,,,
States,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
State/Union Territory,Seats,,,,,,,,,,,,,,,
,,UPA,NDA,LF,Others,,,,,,,,,,,
Main article:Â 2009 Indian general election in Sikki,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,
SDF,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,Seats Won,Seat Change,Alliance,,,,,,,,,,,,,
Sikkim Democratic Front,1,Steady,Others,,,,,,,,,,,,,
Indian National Congress,0,Steady,United Progressive Alliance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tamil Nadu (39),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Tamil Nad,,,,,,,,,,,,,,,,
18,9,8,1,1,1,1,,,,,,,,,,
DMK,AIADMK,INC,VCK,MCMK,CPI,CPI(M),,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,Seats Won,Seat Change,Alliance,,,,,,,,,,,,,
Dravida Munnetra Kazhagam,18,2,United Progressive Alliance,,,,,,,,,,,,,
All India Anna Dravida Munnetra Kazhagam,4,9,Third Front,,,,,,,,,,,,,
Indian National Congress,1,1,United Progressive Alliance,,,,,,,,,,,,,
Viduthalai Chiruthaigal Katchi,1,1,,,,,,,,,,,,,,
Marumalarchi Dravida Munnetra Kazhagam,1,3,Third Front,,,,,,,,,,,,,
Communist Party of India,1,1,,,,,,,,,,,,,,
Communist Party of India (Marxist),1,1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tripura (2),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Tripur,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
CPI(M),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,Seats Won,Seat Change,Alliance,,,,,,,,,,,,,
Communist Party of India (Marxist),2,Steady,Third Front,,,,,,,,,,,,,
Indian National Congress,0,Steady,United Progressive Alliance,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Uttar Pradesh (80),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in Uttar Prades,,,,,,,,,,,,,,,,
23,21,20,10,5,1,,,,,,,,,,,
SP,INC,BSP,BJP,RLD,IND,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,Seats Won,Seat Change,Alliance,,,,,,,,,,,,,
Samajwadi Party,23,12,Fourth Front,,,,,,,,,,,,,
Indian National Congress,21,12,United Progressive Alliance,,,,,,,,,,,,,
Bahujan Samaj Party,20,1,Third Front,,,,,,,,,,,,,
Bharatiya Janata Party,10,Steady,National Democratic Alliance,,,,,,,,,,,,,
Rashtriya Lok Dal,1,2,,,,,,,,,,,,,,
Independent,1,Steady,Others,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
West Bengal (42),,,,,,,,,,,,,,,,
Main article:Â 2009 Indian general election in West Benga,,,,,,,,,,,,,,,,
19,9,6,2,2,1,1,1,,,,,,,,,
AITC,CPI(M),INC,CPI,AIFB,RSP(C),BJP,SUCI(C),,,,,,,,,
,,,,,,,,,,,,,,,,
Party,Seats Won,Seat Change,Alliance,,,,,,,,,,,,,
All India Trinamool Congress,19,18,United Progressive Alliance,,,,,,,,,,,,,
Communist Party of India (Marxist),9,17,Third Front,,,,,,,,,,,,,
Indian National Congress,6,1,United Progressive Alliance,,,,,,,,,,,,,
Communist Party of India,2,1,Third Front,,,,,,,,,,,,,
All India Forward Bloc,2,1,,,,,,,,,,,,,,
Revolutionary Socialist Party (India),1,1,,,,,,,,,,,,,,
Bharatiya Janata Party,1,1,National Democratic Alliance,,,,,,,,,,,,,
Socialist Unity Centre of India (Communist),1,1,Others,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,
Results by Alliance,,,,,,,,,,,,,,,,
Vote share of NDA was 38.5% and that of UPA was 23%.[1][2],,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
National Democratic Alliance,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
336 / 543,,,,,,,,,,,,,,,,
282,18,16,6,4,3,2,1,1,1,1,1,,,,,
BJP,SS,TDP,LJP,SAD,RLSP,AD,PMK,SWP,AINRC,NPP,NPF,,,,,
United Progressive Alliance,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
60 / 543,,,,,,,,,,,,,,,,
1,1,2,2,4,6,44,,,,,,,,,,
RSP,KC(M),JMM,IUML,RJD,NCP,INC,,,,,,,,,,
Others (Non-Allied),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
147 / 543,,,,,,,,,,,,,,,,
37,34,20,11,2,3,4,3,2,2,5,1,1,9,3,1,9
AIADMK,AITC,BJD,TRS,INLD,AIUDF,AAP,J&KPDP,JD(S),JD(U),SP,SDF,AIMIM,YSRCP,IND.,CPI,CPI(M)
Results by State,,,,,,,,,,,,,,,,
Andaman & Nicobar Islands (1),,,,,,,,,,,,,,,,
BJP (1),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,47.8,3.59,1,0,,,,,,,,,,,,
Indian National Congress,44.8,1.23,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Andhra Pradesh (25),,,,,,,,,,,,,,,,
TDP (15),BJP (2),YSRCP (8),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Telugu Desam PartyÂ (NDA,28.1,4.17,15,9,,,,,,,,,,,,
YSR Congress Party,28.9,28.9,8,8,,,,,,,,,,,,
Indian National Congress,11.5,-27.45,0,-19,,,,,,,,,,,,
Bharatiya Janata PartyÂ (NDA,8.5,---,2,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Arunachal Pradesh (2),,,,,,,,,,,,,,,,
BJP (1),INC (1),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,,Seats,,,Popular vote,,,,,,,,,,,
,,Contested,Won,+/â,Votes,%,±pp,,,,,,,,,
,Bharatiya Janata Party,2,1,1,275344,46.62,9.4,,,,,,,,,
,Indian National Congress,2,1,1,246084,41.66,9.55,,,,,,,,,
,,,,,,,,,,,,,,,,
Assam (14),,,,,,,,,,,,,,,,
BJP (7),AIUDF (3),IND (1),INC (3),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Party,,Seats,,,Popular vote,,,2nd position[3],3rd position,,,,,,,
,,Contested,Won,+/â,Votes,%,±pp,,,,,,,,,
,Bharatiya Janata Party,13,7, 3,"55,07,152",36.5,19.29,5,1,,,,,,,
,Indian National Congress,13,3, 4,"44,67,295",29.6,4.31,8,2,,,,,,,
,All India United Democratic Front,10,3, 1,"22,37,612",14.8,2.3,0,4,,,,,,,
,Asom Gana Parishad,12,0, 1,"5,77,730",3.8,8.81,0,3,,,,,,,
,Independent (politician),58,1, 1,"14,36,900",9.62,2.02,1,2,,,,,,,
,Bodoland People's Front,2,0,1,"3,30,106",2.21,,0,2,,,,,,,
,,,,,,,,,,,,,,,,
Bihar (40),,,,,,,,,,,,,,,,
BJP (22),LJP (6),RLSP (3),JDU (2),RJD (4),NCP (1),INC (2),,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata PartyÂ (NDA,29.4,15.47,22,10,,,,,,,,,,,,
Lok Janshakti PartyÂ (NDA,6.4,---,6,6,,,,,,,,,,,,
Rashtriya Janata DalÂ (UPA,20.1,0.8,4,0,,,,,,,,,,,,
Janata Dal (United),15.8,-8.24,2,-18,,,,,,,,,,,,
Rashtriya Lok Samta PartyÂ (NDA,3,---,3,3,,,,,,,,,,,,
Nationalist Congress Party,1.2,---,1,1,,,,,,,,,,,,
Indian National CongressÂ (UPA,8.4,-1.86,2,0,,,,,,,,,,,,
Independent,---,---,0,-2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Chandigarh (1),,,,,,,,,,,,,,,,
BJP (1),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,42.2,19.46,1,1,,,,,,,,,,,,
Indian National Congress,26.8,-20.07,0,-1,,,,,,,,,,,,
Aam Aadmi Party,24,New,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Chhattisgarh (11),,,,,,,,,,,,,,,,
BJP (10),INC (1),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,48.7,-1.09,10,0,,,,,,,,,,,,
Indian National Congress,38.4,13.67,1,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Dadra & Nagar Haveli (1),,,,,,,,,,,,,,,,
BJP (1),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,48.9,2.47,1,0,,,,,,,,,,,,
Indian National Congress,45.1,-0.75,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Daman & Diu (1),,,,,,,,,,,,,,,,
BJP (1),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.538,-11.46,1,0,,,,,,,,,,,,
Indian National Congress,0.433,14.29,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NCT of Delhi (7),,,,,,,,,,,,,,,,
BJP (7),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,46.4,11.17,7,7,,,,,,,,,,,,
Indian National Congress,15.1,-42.01,0,-7,,,,,,,,,,,,
Aam Aadmi Party,34.9,New,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Goa (2),,,,,,,,,,,,,,,,
BJP (2),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.534,8.62,2,1,,,,,,,,,,,,
Indian National Congress,0.366,-14,0,-1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Gujarat (26),,,,,,,,,,,,,,,,
BJP (26),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.6011,12.59,26,10,,,,,,,,,,,,
Indian National Congress,0.3345,-10.48,0,-11,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Haryana (10),,,,,,,,,,,,,,,,
BJP (7),INLD (2),INC (1),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.347,,7,7,,,,,,,,,,,,
Indian National Congress,0.229,-18.87,1,-8,,,,,,,,,,,,
Indian National Lok Dal,0.244,,2,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Himachal Pradesh (4),,,,,,,,,,,,,,,,
BJP (4),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.5331,3.72,4,1,,,,,,,,,,,,
Indian National Congress,0.407,-4.91,0,-1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Jammu and Kashmir (6),,,,,,,,,,,,,,,,
BJP (3),JKPDP (3),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.344,,3,3,,,,,,,,,,,,
Indian National CongressÂ (UPA,0.229,-1.77,0,-2,,,,,,,,,,,,
Jammu & Kashmir People's Democratic Party,0.205,,3,3,,,,,,,,,,,,
Jammu & Kashmir National ConferenceÂ (UPA,0.111,-0.08,0,-3,,,,,,,,,,,,
Independent,---,---,0,-1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Jharkhand (14),,,,,,,,,,,,,,,,
BJP (12),JMM (2),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.401,0.1257,12,4,,,,,,,,,,,,
Indian National CongressÂ (UPA,0.133,-0.0172,0,-1,,,,,,,,,,,,
Jharkhand Vikas Morcha (Prajatantrik),0.121,,0,-1,,,,,,,,,,,,
Jharkhand Mukti MorchaÂ (UPA,0.093,-0.024,2,0,,,,,,,,,,,,
Independent,---,---,0,-2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Karnataka (28),,,,,,,,,,,,,,,,
BJP (17),JD(S) (2),INC (9),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.43,-1,17,-2,,,,,,,,,,,,
Indian National Congress,0.408,3.15,9,3,,,,,,,,,,,,
Janata Dal (Secular),0.11,-0.0257,2,-1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Kerala (20),,,,,,,,,,,,,,,,
INC (8),IUML (2),KC(M) (1),RSP (1),CPI(M) (5),CPI (1),IND (2),,,,,,,,,,
,,,,,,,,,,,,,,,,
Alliance/Party,,,,Popular vote,,,Seats,,,,,,,,,
,,,,Votes,%,±pp,Contested,Won,+/â,,,,,,,
,UDF,,INC,5590285,0.311, 9.04%,15,8, 5,,,,,,,
,,,IUML,816226,0.0454, 0.54%,2,2,,,,,,,,
,,,KC(M),424194,0.0236, 0.17%,1,1,,,,,,,,
,,,RSP,408528,0.0227,New,1,1, 1,,,,,,,
,,,SJ(D),307597,0.0171,New,1,0,New,,,,,,,
,,Total,,7546830,41.98Â , 5.75%,20,12, 4,,,,,,,
,LDF,,CPI(M),3880655,0.2159, 8.89%,10,5, 1,,,,,,,
,,,LDF Ind.,1662997,0.0925, 4.24%,6,2, 2,,,,,,,
,,,CPI,1364010,0.0759, 0.15%,4,1, 1,,,,,,,
,,,JD(S),303595,0.0169, 1.69%,1,0,New,,,,,,,
,,Total,,7211257,0.4012, 1.77%,20,8, 5,,,,,,,
,NDA,,BJP,1856750,0.1033, 4.02%,18,0,,,,,,,,
,,,KC(N),44357,0.0025,New,1,0,,,,,,,,
,,,RSP(B),43051,0.0024,New,1,0,,,,,,,,
,,Total,,1944158,0.1082, 4.39%,20,0,,,,,,,,
Others,,,,1273648,0.0708,,,,,,,,,,,
Total,,,,17975893,1, 0.51%,,20,,,,,,,,
,,,,,,,,,,,,,,,,
Lakshadweep (1),,,,,,,,,,,,,,,,
NCP (1),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Nationalist Congress Party,0.501,3.79,1,1,,,,,,,,,,,,
Indian National Congress,0.466,-5.32,0,-1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Madhya Pradesh (29),,,,,,,,,,,,,,,,
BJP (27),INC (2),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Parties,,Seats,,,Popular vote,,,,,,,,,,,
,,Contested,Won,+/â,Votes,%,±pp,,,,,,,,,
,Bharatiya Janata Party,29,27, 11,"1,60,15,685",0.548, 11.4%,,,,,,,,,
,Indian National Congress,29,2, 10,"1,03,40,274",0.354,0.047,,,,,,,,,
,Bahujan Samaj Party,29,0,1,"11,24,772",0.038, 2.1%,,,,,,,,,
,,,,,,,,,,,,,,,,
Total,,29,,,"2,92,47,970",,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Maharashtra (48),,,,,,,,,,,,,,,,
BJP (22),SS (18),SWP (1),NCP (4),INC (3),,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata PartyÂ (NDA,0.273,0.0913,22,13,,,,,,,,,,,,
Shiv SenaÂ (NDA,0.206,0.036,18,7,,,,,,,,,,,,
Indian National CongressÂ (UPA,0.181,-1.51,3,-14,,,,,,,,,,,,
Nationalist Congress PartyÂ (UPA,0.16,-3.28,4,-4,,,,,,,,,,,,
Swabhimani PakshaÂ (NDA,0.023,,1,0,,,,,,,,,,,,
Bahujan Vikas AaghadiÂ (UPA,---,---,0,-1,,,,,,,,,,,,
Independent,---,---,0,-1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Manipur (2),,,,,,,,,,,,,,,,
INC (2),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.119,,0,0,,,,,,,,,,,,
Indian National Congress,0.417,-0.0126,2,0,,,,,,,,,,,,
Naga People's Front,0.199,,0,0,,,,,,,,,,,,
Communist Party of India,0.14,,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Meghalaya (2),,,,,,,,,,,,,,,,
NPP (1),INC (1),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata PartyÂ (NDA,0.089,,0,0,,,,,,,,,,,,
Indian National CongressÂ (UPA,0.379,-0.0694,1,0,,,,,,,,,,,,
National People's PartyÂ (NDA,0.222,22.2,1,1,,,,,,,,,,,,
Nationalist Congress PartyÂ (UPA,---,-0.1878,0,-1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mizoram (1),,,,,,,,,,,,,,,,
INC (1),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Indian National Congress,0.486,16.98,1,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Nagaland (1),,,,,,,,,,,,,,,,
NPF (1),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Naga People's FrontÂ (NDA,0.687,-1.26,1,0,,,,,,,,,,,,
Indian National Congress,0.301,,,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Odisha (21),,,,,,,,,,,,,,,,
BJD (20),BJP (1),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Biju Janata Dal,0.441,6.87,20,6,,,,,,,,,,,,
Bharatiya Janata Party,0.215,,1,1,,,,,,,,,,,,
Indian National Congress,0.26,-6.75,0,-6,,,,,,,,,,,,
Communist Party of India,0.003,-0.0227,0,-1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Puducherry (1),,,,,,,,,,,,,,,,
All India N R Congress (1),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
All India N.R. CongressÂ (NDA,0.346,0,1,1,,,,,,,,,,,,
Indian National Congress,0.263,-0.2316,0,-1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Punjab (13),,,,,,,,,,,,,,,,
BJP (2),SAD (4),AAP (4),INC (3),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Indian National Congress,0.331,-12.13,3,-5,,,,,,,,,,,,
Shiromani Akali Dal,0.203,-0.1355,4,0,,,,,,,,,,,,
Bharatiya Janata Party,0.087,-1.36,2,1,,,,,,,,,,,,
Aam Aadmi Party,0.304,New,4,4,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Rajasthan (25),,,,,,,,,,,,,,,,
BJP (25),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.549,7.71,25,21,,,,,,,,,,,,
Indian National Congress,0.304,-16.79,0,-20,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Sikkim (1),,,,,,,,,,,,,,,,
SDF (1),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Sikkim Democratic Front,0.53,-13.3,1,0,,,,,,,,,,,,
Sikkim Krantikari Morcha,0.395,0.395,0,0,,,,,,,,,,,,
Bharatiya Janata Party,0.024,0.59,0,0,,,,,,,,,,,,
Indian National Congress,0.023,-0.2726,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tamil Nadu (39),,,,,,,,,,,,,,,,
AIADMK (37),PMK (1),BJP (1),,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
All India Anna Dravida Munnetra Kazhagam,0.443,0.2142,37,28,,,,,,,,,,,,
Dravida Munnetra Kazhagam,0.236,-1.49,0,-18,,,,,,,,,,,,
Bharatiya Janata Party,0.055,,1,1,,,,,,,,,,,,
Pattali Makkal Katchi,0.044,,1,1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Telangana (17),,,,,,,,,,,,,,,,
TRS (11),INC (2),BJP (1),TDP (1),YSRCP (1),AIMIM (1),,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Telangana Rashtra Samithi,33.9,7.76,11,9,,,,,,,,,,,,
Indian National Congress,20.5,-27.45,2,0,,,,,,,,,,,,
Bharatiya Janata Party,8.5,---,1,0,,,,,,,,,,,,
Telugu Desam Party,3.1,4.17,1,0,,,,,,,,,,,,
YSR Congress Party,2.9,2.9,1,0,,,,,,,,,,,,
All India Majlis-e-Ittehadul Muslimeen,1.4,-0.53,1,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tripura (2),,,,,,,,,,,,,,,,
CPI(M) (2),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Communist Party of India (Marxist),0.64,2.31,2,0,,,,,,,,,,,,
Indian National Congress,0.152,,0,0,,,,,,,,,,,,
Bharatiya Janata Party,0.057,,0,0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Uttar Pradesh (80),,,,,,,,,,,,,,,,
BJP (71),SP (5),INC (2),AD (2),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Alliance/Party,,,,Seats,,,Popular vote,,,2nd Position,3rd Position,,,,,
,,,,Contested,Won,+/â,Votes,%,±pp,,,,,,,
,NDA,,Bharatiya Janata PartyÂ (BJP,78,71, 61,"3,43,18,854",42.63, 24.80,7,0,,,,,
,,,Apna Dal,2,2, 2,"8,12,315",1,,0,0,,,,,
-,-,,Samajwadi Party,78,5, 18,"1,79,88,967",22.35, 1.06,31,30,,,,,
-,-,,Bahujan Samaj Party,80,0, 20,"1,59,14,194",19.77, 7.82,34,42,,,,,
,UPA,,Indian National Congress,66,2, 19,"60,61,267",7.53, 10.75,6,5,,,,,
,,,Rashtriya Lok Dal,8,0, 5,"6,89,409",0.86,2.4,1,1,,,,,
,,,,,,,,,,,,,,,,
Uttarakhand (5),,,,,,,,,,,,,,,,
BJP (5),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Bharatiya Janata Party,0.553,,5,1,,,,,,,,,,,,
Indian National Congress,0.34,-9.13,0,-5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
West Bengal (42),,,,,,,,,,,,,,,,
BJP (2),INC (4),CPI(M) (2),AITC (34),,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
All India Trinamool Congress,0.398,8.6,34,15,,,,,,,,,,,,
Communist Party of India (Marxist),0.23,-10.1,2,-13,,,,,,,,,,,,
Bharatiya Janata Party,0.18,10.9,2,1,,,,,,,,,,,,
Indian National Congress,0.097,-3.8,4,-2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,
Party,,,,,,,,,,,,,,,,
,BJP,INC,DMK,YCP,,,,,,,,,,,,
Leader,Narendra Modi,Rahul Gandhi,M. K. Stalin,Y. S. Jaganmohan Reddy,,,,,,,,,,,,
,Picture,Picture,Picture,Picture,,,,,,,,,,,,
Votes,37.77%Â ,19.66%Â ,2.33%Â ,2.26%Â ,,,,,,,,,,,,
,,119495214,"14,363,332[1][2]",13877992,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,229076879,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Seats,303 (55.90%),52 (9.59%),23 (4.24%),23 (4.24%),,,,,,,,,,,,
,303 / 542,52 / 542,23 / 542,23 / 542,,,,,,,,,,,,
,,,[a],,,,,,,,,,,,,
Party,,,,,,,,,,,,,,,,
,TMC,SS,JD(U),BJD,,,,,,,,,,,,
Leader,Mamata Banerjee,Uddhav Thackeray,Nitish Kumar,Naveen Patnaik,,,,,,,,,,,,
,Picture,Picture,Picture,Picture,,,,,,,,,,,,
Votes,4.1%Â ,2.10%Â ,1.46%Â ,1.66%Â ,,,,,,,,,,,,
,,12858904,8926679,10174021,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,"24,757,345[1]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Seats,22 (4.05%),18 (2.3%),16 (1.9%),12 (1.2%),,,,,,,,,,,,
,22 / 542,18 / 542,16 / 542,12 / 542,,,,,,,,,,,,
Party,,,,,,,,,,,,,,,,
,BSP,SP,NCP,CPI(M),,,,,,,,,,,,
Leader,Mayawati,Akhilesh Yadav,Sharad Pawar,Sitaram Yechury,,,,,,,,,,,,
,Picture,Picture,Picture,Picture,,,,,,,,,,,,
Votes,3.63%Â ,2.55%Â ,1.39%Â ,1.77%Â ,,,,,,,,,,,,
,,15647206,8500331,10744908,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,22246501,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Seats,10 (1.85%),5 (0.92%),5 (0.92%),3 (0.55%),,,,,,,,,,,,
,10 / 542,5 / 542,5 / 542,3 / 542,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands (1),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Andaman and Nicobar Island,,,,,,,,,,,,,,,,
INC (1),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Name of Party,Vote ShareÂ ,Change,Seats won,Changes,,,,,,,,,,,,
Indian National Congress,0.4598,2.28,1, 1,,,,,,,,,,,,
Bharatiya Janata Party,0.453,-2.5,0, 1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Chandigarh (1),,,,,,,,,,,,,,,,
Main article:Â 2019 Indian general election in Chandigar,,,,,,,,,,,,,,,,
BJP (1),,,,,,,,,,,,,,,,
